lib,case,validity,iterations,avg_ns,total_ns
spec,raw-int,valid,100000,2376.75583,237675583
spec,raw-int,invalid,100000,2339.84208,233984208
malli,raw-int,valid,100000,28.65458,2865458
malli,raw-int,invalid,100000,5.63292,563292
spell,raw-int,valid,100000,49.89291,4989291
spell,raw-int,invalid,100000,36.32292,3632292
spec,raw-string,valid,100000,2877.83334,287783334
spec,raw-string,invalid,100000,2857.99625,285799625
malli,raw-string,valid,100000,3.34458,334458
malli,raw-string,invalid,100000,3.42416,342416
spell,raw-string,valid,100000,16.73041,1673041
spell,raw-string,invalid,100000,16.76583,1676583
spec,raw-keyword,valid,100000,2888.64708,288864708
spec,raw-keyword,invalid,100000,2903.04917,290304917
malli,raw-keyword,valid,100000,3.23,323000
malli,raw-keyword,invalid,100000,3.25291,325291
spell,raw-keyword,valid,100000,13.78625,1378625
spell,raw-keyword,invalid,100000,11.24292,1124292
spec,and,valid,100000,313.45542,31345542
spec,and,invalid,100000,310.98667,31098667
malli,and,valid,100000,5.00834,500834
malli,and,invalid,100000,5.0875,508750
spell,and,valid,100000,105.37042,10537042
spell,and,invalid,100000,87.95,8795000
spec,or,valid,100000,556.82417,55682417
spec,or,invalid,100000,563.37666,56337666
malli,or,valid,100000,3.57959,357959
malli,or,invalid,100000,4.64917,464917
spell,or,valid,100000,107.645,10764500
spell,or,invalid,100000,110.49083,11049083
spec,vector,valid,100000,2678.51041,267851041
spec,vector,invalid,100000,2573.59542,257359542
malli,vector,valid,100000,37.02166,3702166
malli,vector,invalid,100000,29.49958,2949958
spell,vector,valid,100000,143.51042,14351042
spell,vector,invalid,100000,128.84416,12884416
spec,list,valid,100000,2814.91209,281491209
spec,list,invalid,100000,2577.38959,257738959
malli,list,valid,100000,26.23667,2623667
malli,list,invalid,100000,26.28917,2628917
spell,list,valid,100000,159.42333,15942333
spell,list,invalid,100000,173.03333,17303333
spec,set,valid,100000,3767.27625,376727625
spec,set,invalid,100000,3618.73291,361873291
malli,set,valid,100000,60.36708,6036708
malli,set,invalid,100000,81.8025,8180250
spell,set,valid,100000,122.86042,12286042
spell,set,invalid,100000,75.55375,7555375
spec,map,valid,100000,389.55791,38955791
spec,map,invalid,100000,54.20458,5420458
malli,map,valid,100000,62.78292,6278292
malli,map,invalid,100000,33.2025,3320250
spell,map,valid,100000,227.33041,22733041
spell,map,invalid,100000,51.87791,5187791
